date,geo,hashtags,id,text,type,username
2019-07-07 22:17:22+00:00,,,1147993034732126208,"Torres Strait this in not the question @angiemartinez We're representing Torres Strait at our ""TAJABOONLANDIA la fiesta"" a little Muscle Man foreplay FAQ A 4.70 magnitude earthquake has occurred near Torres Strait, QLD, Australia at 18:54 UTC! http://earthquak.es/ems_201907_776853 …pic.twitter.com/V3Gb827fWE – at Savannah at Southport",official,EmperorHughes
2019-07-07 20:46:20+00:00,,,1147970123669467136,Completely not related in time or space. We have faults in CA so we have earthquakes. No other connection.,official,mwgjerde
2019-07-07 18:44:11+00:00,,,1147939383841939456,my twitter feed rn be like: -hot girl summer -stranger things -men ain’t shit -asap rocky -cameron boyce -earthquake -kawhi -cameron boyce -musty ppl eating ice cream in stores -cameron boyce https://twitter.com/imlowkeycool/status/1147564422266679296 …,official,youngmarriii
2019-07-07 18:31:40+00:00,,,1147936235387674624,"A swarm of 1,000 earthquakes hit Southern California — how nervous should we be? » @angiemartinez Hot fun in the city?https://www.foxnews.com/science/swarmageddon-of-1000-earthquakes-hit-southern-california-should-they-be-nervous … – at Savannah at Southport",official,EmperorHughes
2019-07-07 15:51:57+00:00,,,1147896038407036928,I didn’t feel any hint of earthquake here in Sacto,official,tisha_f
2019-07-07 14:32:30+00:00,,,1147876047058157568,Yeah I'm good partner in crime. We didn't feel either earthquake. I hope it stays that way!,official,Jeradiah3
2019-07-07 10:47:39+00:00,,,1147819462474625024,"@angiemartinez A 2.55 magnitude earthquake has occurred near Edwards Air Force Base, CA at 07:19 UTC! http://earthquak.es/ci38473127 pic.twitter.com/XQ9v6FdcQv – at Savannah at Southport",official,EmperorHughes
2019-07-07 10:39:26+00:00,,,1147817394024247296,"@angiemartinez A 3.38 magnitude earthquake has occurred near Searles Valley, CA Felt by people little damage at 10:32 UTC! http://earthquak.es/ci38474959 pic.twitter.com/RsJJ6ZpLjF – at Savannah at Southport",official,EmperorHughes
2019-07-07 07:18:36+00:00,,,1147766851994185729,So to the people that were going to the bathroom during the earthquake- Was the toilet water a wavepool? And if it was did it splash on your butt?,official,iHazDainBramage
2019-07-07 06:53:53+00:00,,,1147760631321227265,"Am I stoned, or am I feeling an earthquake?",official,allyfosheezy
2019-07-07 03:40:10+00:00,,,1147711882733613056,Earthquake in California... https://twitter.com/NewsBreaking/status/1147364702567063552 …,official,DrueRoyalty
2019-07-07 02:42:58+00:00,,,1147697484224839685,"I don’t care what people tell you, but LA definitely has 4 seasons: Pilot, Earthquake, Fire and Award.",official,JuliePetrone
2019-07-07 01:05:56+00:00,,,1147673066526449665,Call us if you need help with Earthquake Insurance 877 851 7867 http://www.letsinsure.org @California https://www.instagram.com/p/BzmLJVfnmbj/?igshid=1grnqfcn8f2ml …,official,LetsInsure
2019-07-07 00:54:17+00:00,,#beprepared,1147670136360357888,We didn’t even feel them. I’m just really scared now. And I’m putting together like a whole plan for natural disasters and a kit and stuff in case we have to evacuate for fires or floods or earthquakes or whatever it might be. #beprepared,official,the_real_stacie
2019-07-07 00:33:37+00:00,,#Earthquake,1147664935050043392,"Prayers to all affected by the LA 7.1 #Earthquake & all the aftershocks afterwards, an aftershocked of 5.4 can be feltb& do damage too. Hope all is safe & not so much damage & destruction...extra prayers to those living in Southern California, very scary.",official,nickibabylove
2019-07-07 00:31:28+00:00,,#earthquake #RidgecrestEarthquake #PeoplePowerpic,1147664391531159552,"Visit our updated website for opportunities to support #earthquake response/relief efforts. In our charge to coordinate donations in times of disaster, we will provide updates with ways for the public to take action. https://californiavolunteers.ca.gov #RidgecrestEarthquake #PeoplePowerpic.twitter.com/Ft65M8S7JC",official,CalVolunteers
2019-07-07 00:19:07+00:00,,#RidgecrestEarthquake,1147661284743081984,"In response to the two major earthquakes near the town of Ridgecrest, California, from July 4 and July 5, California Volunteers continues to coordinate with state and local partners to determine the need for donations and volunteers. #RidgecrestEarthquake",official,CalVolunteers
2019-07-07 00:08:21+00:00,,#CAEarthquakepic,1147658576288047104,Shopping for a new dinning room table... cause earthquakes. #CAEarthquakepic.twitter.com/ssirXZ1IAD,official,the_real_stacie
2019-07-06 23:36:31+00:00,,,1147650565880463360,"Ciudad Morelos @angiemartinez A 2.11 magnitude earthquake has occurred near Heber, CA at 15:34 UTC! http://earthquak.es/ci38465111 pic.twitter.com/wgCkXUpgM5 – at Savannah at Southport",official,EmperorHughes
2019-07-06 23:13:34+00:00,,,1147644790470610944,Now she is a predicting earthquake guess what this earthquake wasnt on the san Andreas fault line pic.twitter.com/tZ8DK6S0SQ,official,cathysimon171
2019-07-06 22:38:48+00:00,,,1147636039189581825,"@angiemartinez Nos desde Ciudad Morelos acerca las tremblares muchas amor et Las oraciones A 2.11 magnitude earthquake has occurred near Heber, CA at 15:34 UTC! http://earthquak.es/ci38465111 pic.twitter.com/8NRTcDgMUr – at Savannah at Southport",official,EmperorHughes
2019-07-06 22:22:13+00:00,,,1147631865211154432,"I'll be fine, Ren. I didn't experience any bad earthquakes here for some reason, but I did hear about the quake at Disneyland. It seems whenever there is a quake in California, the city I reside in remains untouched... Are we not good enough for you, earthquakes?",official,Zerukin
2019-07-06 21:39:28+00:00,,,1147621106716594176,Years ago I did some work for SMIP the state agency that places and monitors Earth Quake monitoring devices..There were literally thousands that we monitored. They were so sensitive that we often got a false read. Like if it was placed in a parking garage & a car drove by it.,official,Plaidypus07
2019-07-06 21:29:07+00:00,,,1147618503727431680,Last night these globes of my dining room light fixture started clinking against each other and we knew right away it was an earthquake. It made me realize I hadn’t thought about that ever being an issue. Sacramento… https://www.instagram.com/p/BzlyU11p0Dv/?igshid=10vtd3nh93z7r …,official,rwarddesign
2019-07-06 20:06:04+00:00,,,1147597602034081792,Did no one else do earthquake drillls in school or ?? She smart lol i wouldn’t wanna die from a mf studio light or some shit falling on me https://twitter.com/FlynnAlKapone/status/1147349713366077440 …,official,jennafordd
2019-07-06 18:44:47+00:00,,,1147577148682620928,Omg i hope u surivvived the earthquake ur ass is sooo fat,official,miIksosa
2019-07-06 18:36:55+00:00,,,1147575167201136640,"Didn't you mean ""bad earthquake""? Lol.",official,Bryan_Barton
2019-07-06 17:42:17+00:00,,,1147561417156939776,Everybody in Southern California knows Dr Lucy! She IS the earthquake expert for all media! Wonderful! https://twitter.com/sacbee_news/status/1147548362255872009 …,official,mwgjerde
2019-07-06 17:33:42+00:00,,,1147559256935157761,"Thank you, Hannah’s Meemaw. Donny will probably say we caused the earthquakes with our windmills. After all, we caused the forest fires because we didn’t sweep the forest floors. https://twitter.com/HMeemaw/status/1147521888467529728 …",official,CSundin2
2019-07-06 17:23:27+00:00,,#earthquake #caleg #EarthquakeResponse #California #CA,1147556680470630400,"In the meantime, please follow @Cal_OES for the latest news and updates on response efforts. #earthquake #caleg #EarthquakeResponse #California #CA",official,CalVolunteers
2019-07-06 17:21:22+00:00,,#earthquakes #Updates #volunteer #donation #Earthquake,1147556153406050304,"We ask for the public’s patience while we determine the need for volunteers and donations in response to recent #earthquakes. We’re coordinating with local/state partners now. #Updates will be posted here, and our website, on potential #volunteer and #donation needs. #Earthquake",official,CalVolunteers
2019-07-06 17:12:58+00:00,,,1147554042781941760,I live in California. I've been through several earthquakes. Yet tornados scare the shit out of me.,official,tkheller916
2019-07-06 17:10:51+00:00,,,1147553510075932672,So thankful to not be experiencing this. Safe in earthquake-free Sacramento. https://twitter.com/BuzzFeedNews/status/1147550764010622976 …,official,grimethehouse
2019-07-06 17:10:39+00:00,,,1147553457978523654,I hope y’all are ok after the two earthquakes,official,SLM012011
2019-07-06 16:51:55+00:00,,,1147548741521428480,A 7.1 earthquake happening closer to SF would cause significant damage.,official,lixiari
2019-07-06 16:42:41+00:00,,#haveaplan #beprepared #earthquakes #fires #davisfire #davisfirefighters #daviscommunity,1147546420527939586,"Earthquakes, Fires, Power Outages or any Emergency.....Don’t be caught unprepared. #haveaplan #beprepared #earthquakes #fires #davisfire #davisfirefighters #daviscommunity @Davis, California https://www.instagram.com/p/BzlRjcihoQN/?igshid=1icp48a9kpmii …",official,cityofdavisfire
2019-07-06 16:36:02+00:00,,#laearthquake #earthquake #socal #california #whenyougottagoyougottago #bathroom #restroom #praying #toilet #humor #earth #quake,1147544745754992642,(118) Moments after the first earthquake. #laearthquake #earthquake #socal #california #whenyougottagoyougottago #bathroom #restroom #praying #toilet #humor #earth #quake @California https://www.instagram.com/p/BzlQy0jAmJD/?igshid=8m3cog69qbjy …,official,TheSebazy
2019-07-06 16:32:28+00:00,,,1147543850048606208,"This is the scariest, funniest and most informative article on what to do during an earthquake. https://twitter.com/LAist/status/1147376361448857601 …",official,LouAyon
2019-07-06 15:57:08+00:00,,,1147534956991664129,"That’s not where the earthquake was, and that’s not how aftershocks work.. https://twitter.com/marwilliamson/status/1147364138492018688 …",official,katie_hanz
2019-07-06 15:07:44+00:00,,#Earthquake #earthquakes #EarthquakeLA #earthquakecalifornia #Earthquake71,1147522523078115333,I hope everyone is alright from that 7.1 #Earthquake. #earthquakes #EarthquakeLA #earthquakecalifornia #Earthquake71.,official,TheBadassNinja
2019-07-06 14:55:40+00:00,,,1147519489656807424,Donny knows CA is part of the U.S. He just hates us. We don’t vacuum the forests like he said we should. I wonder what his brilliant prevention tactics will be for earthquakes. https://twitter.com/akkitwts/status/1147496105770475522 …,official,CSundin2
2019-07-06 14:52:18+00:00,,,1147518638951297024,It’s understandable to be scared. After the Loma Prieta earthquake I would wake up constantly feeling after shocks even when there were none. I was so happy to move out of the Bay Area. We lived in Huntington Beach for many years and I never felt one the entire time. Stay alert . https://twitter.com/PauleyP/status/1147460201005535232 …,official,DeeNoel01
2019-07-06 14:47:15+00:00,,,1147517369738153984,If the earth keeps fuckin around with these earthquakes San Francisco is about to be an island,official,justinridesmx53
2019-07-06 14:25:43+00:00,,,1147511952140197888,Governor of California declares State of Emergency for San Bernardino following powerful earthquake https://twitter.com/i/events/1147353512637947904 …,official,BayAreaFan19
2019-07-06 13:55:30+00:00,,,1147504347023990785,Governor of California declares State of Emergency for San Bernardino following powerful earthquake https://twitter.com/i/events/1147353512637947904 …,official,doc_mbreezee
2019-07-06 13:50:09+00:00,,,1147503000128110594,@USGS says there’s a 4% chance that the M7.1 could trigger a larger earthquake. Small % but keep in mind the M6.4 on the 4th had a 9% chance and it did.,official,rabidmarmot
2019-07-06 13:39:20+00:00,,#earthquakes,1147500278276476931,These are all the earthquakes (both big and small) that have occurred in Southern California over the past 12-24 hrs. https://earthquake.usgs.gov #earthquakes pic.twitter.com/2lc4vwnwue,official,lixiari
2019-07-06 13:34:17+00:00,,,1147499009306529792,I just woke up and Woj has managed to deliver a bigger earthquake than the one that hit LA last night,official,fergmilligan
2019-07-06 13:05:48+00:00,,,1147491839915618304,"Most of Ridgecrest is newer single family wood frame houses, these do fairly well in earthquakes. I can’t recall any old masonry buildings there.",official,rabidmarmot
2019-07-06 12:47:55+00:00,,#earthquake #Ridgecrest #Sacramento #CAwx,1147487337481461760,WOW!! My Uncle Raymond sent me a video of the magnitude 7.1 #earthquake in #Ridgecrest sloshing water out of his pool nearly 400 miles away in the #Sacramento area! #CAwx : Raymond Cusimanopic.twitter.com/H34VwXjEMX,official,DylanFedericoWX
2019-07-06 11:41:31+00:00,,#journalismlife #deadlines #welcometosocal,1147470628808605697,I was in downtown LA in 1994 covering the Northridge earthquake when a lab tech ran out of the building during an after shock as I had my film processed. I was like get back in there I have a deadline to meet. #journalismlife #deadlines #welcometosocal,official,HectorJAmezcua
2019-07-06 09:59:50+00:00,,,1147445037531222017,"Stf! Up about that earthquake fu y’all ain’t really down to die, bet.",official,hexdick
2019-07-06 09:47:01+00:00,,#earthquake,1147441812602150912,The Vibes are back as people in Southern California feel the #earthquake pic.twitter.com/n2cBB3lGjp,official,itzChRisUbish
2019-07-06 09:45:07+00:00,,,1147441337265840128,Talking about the earthquake but you still order straws and plastic bags.,official,Polethcuevas_
2019-07-06 09:02:28+00:00,,,1147430600854233089,did anyone else feel that earthquake?,official,bbelladiaz
2019-07-06 09:01:08+00:00,,,1147430265561550848,California Governor’s Office of Emergency Services (Cal OES) Operations Center is filling up. Pulling people back from the long holiday weekend takes time as people are all over the state and country. This is the difficult part of an earthquake - no warning.,official,rabidmarmot
2019-07-06 08:41:30+00:00,,,1147425324973481984,Limited info on earthquake damage until dawn,official,rabidmarmot
2019-07-06 08:23:28+00:00,,,1147420788250644480,Come on cuhz all we have to worry about out here is flooding. Unless it’s some end of the world type earthquake we’ll be fine (hopefully) lmao,official,ThatDudeShan
2019-07-06 08:20:32+00:00,,,1147420047771496448,We’re gonna be one of the few remaining parts of California left. Sac doesn’t get earthquakes we catch some Bay Area aftershocks but that’s it. https://twitter.com/MG_Boaa/status/1147416976920174592 …,official,ThatDudeShan
2019-07-06 08:20:03+00:00,,,1147419928850337792,Saw a lot of people say they were dizzy during the earthquake. This explains it. https://twitter.com/AngelJennings/status/1147398614768996354 …,official,newsbabe1530
2019-07-06 08:17:43+00:00,,,1147419338846007298,"FEMA’s role is to back the State Government on responding to the M7.1 earthquake. Cal OES is in the driver’s seat. FEMA can use our federal partners ( @USGS @USACEHQ etc) to also help the State. FEMA does not take over the operations, that only happens in Hollywood.",official,rabidmarmot
2019-07-06 08:14:31+00:00,,,1147418536639266817,Say some prayers tonight . Everyone be safe out there with all these earthquakes going on .,official,mariimoneyy
2019-07-06 07:58:45+00:00,,,1147414568290803712,"(The soul of Mexico ). State of Michoacán @angiemartinez This was a hour or so before your tweet you too stay safe Well received your stay safe honestly mad love have some demi A 5.50 magnitude earthquake has occurred near CA, United States at 03:47 UTC! http://earthquak.es/ci38457687 pic.twitter.com/5opZyqg1ne – at Savannah at Southport",official,EmperorHughes
2019-07-06 07:50:56+00:00,,,1147412602370347008,"West Coast Family A 4.80 magnitude earthquake has occurred near Ridgecrest, CA United States at 04:13 UTC! That's about the time of your tweet My West Coast family officials say more after shocks to come this 4.80 on Richter @angiemartinez East coast fam http://earthquak.es/us70004bqm pic.twitter.com/GnXGQ4fV2q – at Savannah at Southport",official,EmperorHughes
2019-07-06 07:41:47+00:00,,,1147410296446656512,"I slept through that earthquake like a baby, hope everyone is safe in SoCal",official,SabSilv
2019-07-06 07:38:36+00:00,,,1147409498098847744,Over 1400 aftershocks after a 6.6 earthquake July 4th and a 7.1 July 5th! Praying the activity stops extremely quick and that my friends and the babies (animals duh ) remain safe. I hate… https://www.instagram.com/p/BzkTSAgh9ZXCaezQiY8yD_O2firM0BYKwl9qkk0/?igshid=yo56myq4sdu9 …,official,AimeeSanders
2019-07-06 07:21:31+00:00,,#Survivor,1147405199109021696,You survived a huricane and now an earthquake #Survivor,official,VanessaSTP47
2019-07-06 07:21:29+00:00,,,1147405191139868672,Is The BIG ONE going to happen? 2 Earthquakes in 2 days..... Stay READY CALIFORNIA! Always (~*LOVE~),official,DrueRoyalty
2019-07-06 07:20:25+00:00,,,1147404920670134273,This is more of a “freight train” earthquake https://twitter.com/NBCLA/status/1147378585608622080 …,official,newsbabe1530
