date,geo,hashtags,id,text,type,username
2019-07-07 23:17:06+00:00,,,1148008064202575872,"I was born and raised in California. I remember the 1989 Earthquake and my grandma got me under a table quick. Folks, when you really feel an earthquake: drop, cover and hold on. Don't pull out your phone to record all your furniture shaking. https://www.ready.gov/earthquakes pic.twitter.com/sRTZI7DnJy",official,seeMOUSErun
2019-07-07 23:06:45+00:00,,,1148005460529700864,No earthquake today? Wack.,official,youngcalis
2019-07-07 22:21:31+00:00,,,1147994077981339648,If you somehow find me in your messages that earthquake sent me there,official,youngcalis
2019-07-07 22:09:36+00:00,,#lame #overbooking #BShttps,1147991079242756097,"Folks, be wary of @AmericanAir #lame excuses given to my BiL for first canceling his connecting flight and cloning it is due to the So. Cal earthquake rather than their greedy #overbooking on this holiday weekend!!! They said the first available flight was 2-days later!! #BShttps://twitter.com/Tweeter_Manish/status/1147980694787899393 …",official,kirtip56
2019-07-07 20:10:51+00:00,,#soccerisboring,1147961193904013312,only reason I would go to an Earthquakes game is to watch the planes land and take off #soccerisboring,official,maxpat0
2019-07-07 20:07:58+00:00,,,1147960467190497280,That next earthquake better shake my soul out my body,official,youngcalis
2019-07-07 19:13:18+00:00,,,1147946712872284160,"1/ with the San Andreas Fault goin dumb, I wanted to share my earthquake kit for anyone who still needs to put one together: - underwear - socks - sneakers - extra clothing - face wipes - baby wipes - toilet paper - paper towels - toothbrush - toothpaste - mouthwash - floss",official,nilamadison
2019-07-07 16:41:46+00:00,,,1147908576523874304,"With all these earthquakes happening I dreamt that there was an earthquake in the Bay & we couldn’t find our emergency kit!! & now yhat is my priority today, getting it ready!",official,iphaniieee
2019-07-07 13:03:17+00:00,,,1147853591819853824,“we didn’t have an earthquake”,official,nevatia_karan
2019-07-07 12:17:30+00:00,,#SafetyFirst,1147842072818282498,These earthquakes making its way up to Nor-Cal. Make sure y’all got y’all first aid med kit and hella water stored! Better safe then sorry. #SafetyFirst,official,CVimahi
2019-07-07 08:46:04+00:00,,,1147788863764488192,"STG I am not dying from no damn earthquake. If you’re gonna kill me, it’s gonna be exciting.",official,pappis_01
2019-07-07 07:36:12+00:00,,,1147771281070125056,Either this was my last Earthquakes game or not but I hope we don’t do another free customization promo anytime soon... shit was nuts,official,WarnerFFunesJr
2019-07-07 07:07:47+00:00,,#SanJoseEarthquakes #VamosSJ #SportsPhotography,1147764129723310081,"San Jose Earthquakes vs Real Salt Lake: July 6, 2019 Sony A6000 #SanJoseEarthquakes #VamosSJ #SportsPhotography @Avaya Stadium https://www.instagram.com/p/Bzm0jasngMc/?igshid=ngut252o93u8 …",official,tjvalenton
2019-07-07 06:54:28+00:00,,,1147760779069779968,My biggest fear is being in the shower when an earthquake hits.,official,stephyjgee
2019-07-07 04:31:06+00:00,,,1147724698882412544,"Danny Hoesen, stoppage time hero. Earthquakes win 1-0 over Real Salt Lake.",official,Juice_Cano
2019-07-07 04:08:34+00:00,,,1147719027302600705,"Soon as the Bay Area starts rockin from a earthquake, I’m hoppin on my plane and I’m gone!",official,SalKhan510
2019-07-07 04:01:51+00:00,,#Repost #VamosSanJose #Earthquakes,1147717336507437056,#Repost kiingjody_ ・・・ @chuygomez @djbrothareese #VamosSanJose #Earthquakes @Avaya Stadium https://www.instagram.com/p/BzmfQmanFNDymW5WJ-zRQswFlqAoO4CsZvw1G00/?igshid=ag1z21i613ty …,official,DJBROTHAREESE
2019-07-07 03:34:33+00:00,,#mls #soccer #futbol #faultline #futbolweekend #sjearthquakes #sanjose #caliliving #california #vamossj #vamossanjose #neversaydie #hashtag,1147710467936096256,Random Negro Futbol Report: Half-Time #mls #soccer #futbol #faultline #futbolweekend #sjearthquakes #sanjose #caliliving #california #vamossj #vamossanjose #neversaydie #hashtag @Earthquakes Soccer https://www.instagram.com/p/BzmcJTynsxX/?igshid=17droq2k3qrhx …,official,IiiPridgen
2019-07-07 03:20:51+00:00,,,1147707020411199488,Guys I’m flying back to Vegas now so that means no more earthquakes ever again.,official,RotoDoc
2019-07-07 02:54:44+00:00,,,1147700447764860929,"Had the entire week off, & was in a relatively calm state of mind. But not until Saturday when reality check of earthquakes, snapped me into gear to organize my room. Nothing like fear of needing to flee like Usain Bolt, to make me declutter walking areas. At least it is done.",official,slamsonette
2019-07-07 02:51:45+00:00,,,1147699696091090944,"Thanks ... was going to reach out to you with this question, because I know Coso is in the area, and wondered if the earthquake swarm would match up with magma movement...but you’ve already answered me . The more you know...",official,teflonjedi
2019-07-07 02:46:32+00:00,,#mls #soccer #futbol #faultline #futbolweekend #sjearthquakes #sanjose #caliliving #california #vamossj #vamossanjose #neversaydie #hashtag,1147698385564131328,Random Negro Futbol Report: First-HALF #mls #soccer #futbol #faultline #futbolweekend #sjearthquakes #sanjose #caliliving #california #vamossj #vamossanjose #neversaydie #hashtag @Earthquakes Soccer https://www.instagram.com/p/BzmWpnunUzB/?igshid=1m3g67imctsst …,official,IiiPridgen
2019-07-07 02:13:32+00:00,,,1147690077050437633,"I was camping with friends in Kings Canyon National Park, which is 77.8 linear miles from Ridgecrest, CA, where the magnitude 7.1 earthquake struck! We felt the waves: the ground was going up and down for like 15 seconds! It was freaky!",official,Dibplodicus
2019-07-07 02:13:05+00:00,,,1147689964261351426,"I was camping with friends in Kings Canyon National Park, which is 77.8 linear miles from Ridgecrest, CA, where the magnitude 7.1 earthquake struck! We felt the waves: the ground was going up and down for like 15 seconds! It was freaky!",official,DibNathTechMktg
2019-07-07 01:46:54+00:00,,#VamosSanJose #ChuyLovesTheKids,1147683374619774976,#VamosSanJose #ChuyLovesTheKids @sjearthquakes @Earthquakes Soccer https://www.instagram.com/p/BzmP1dhAamx/?igshid=dap2fy6a54qp …,official,ChuyGomez
2019-07-07 01:44:46+00:00,,,1147682840298979328,Hahaha CA boys! Earthquake gang!,official,BordeauxShawty
2019-07-07 01:44:02+00:00,,,1147682653195235330,So is all this building up to a massive earthquake? Let me know so I can make sure I’m at the beach,official,ruben3rivera
2019-07-07 01:29:51+00:00,,,1147679087156027394,Covering some MLS soccer on a nice Saturday afternoon. San Jose Earthquakes host Real Salt Lake. pic.twitter.com/xJbi5j424y – at Avaya Stadium,official,Juice_Cano
2019-07-07 00:46:22+00:00,,,1147668143910744065,Anyways i’ll be prepared to pop my bussy when the 3rd earthquake comes,official,faggaholic
2019-07-07 00:43:58+00:00,,,1147667537649258496,"Yet again, on the West Coast. Maybe there will be a couple small earthquakes to ride while I bide my time. Hate waiting 3 more hours.",official,Tiffmeister
2019-07-06 23:17:35+00:00,,,1147645798064070656,"All this earthquake talk is makin me want to move back in with my parents so they can take care of me when it inevitably happens, cause lord knows I can’t take care of myself",official,sharkstina
2019-07-06 22:42:44+00:00,,,1147637029003382784,"@RobMayeda If a 7.1 mag earthquake hit the Bay Area, is that “the big one”? Or is it predicted to be stronger?",official,chucksievert
2019-07-06 22:26:15+00:00,,,1147632882040500224,Earthquake.....,official,JRVANPERNIS
2019-07-06 22:15:06+00:00,,,1147630075501694977,"I move to California. I set up my e-weather HD app to alert me to tremors within 500mi, just for scientific curiosity. This happens. I feel superstitiously guilty. CBS News: Southern California jolted by biggest earthquake in 20 years. https://www.cbsnews.com/live-news/california-earthquake-damage-injuries-reported-ridgecrest-today-live-updates-2019-07-06/?ftag=CNM-00-10aag7e … via @GoogleNews",official,shava23
2019-07-06 21:14:09+00:00,,,1147614738471239680,"this dudes a fucking idiot im sorry ""earthquake = under control"" alright. https://twitter.com/realDonaldTrump/status/1146862295466819585 …",official,Ixnne__
2019-07-06 20:43:03+00:00,,,1147606908284485633,"I just want to remind all the NIMBY people in the Bay Area Because of you, we don’t have extra capacity in housing So you should pray to all deities that earthquake won’t happen Otherwise, get ready 5k/month rent, we said no to your house, and no public services for no tax money",official,happywaiman
2019-07-06 20:20:13+00:00,,,1147601164717793281,Governor of California declares State of Emergency for San Bernardino following powerful earthquake https://twitter.com/i/events/1147351389858717697 …,official,silviali
2019-07-06 19:42:29+00:00,,#prayersforsocal,1147591669392584704,"Earthquake app showing the recent earthquakes and aftershocks. #prayersforsocal @San Jose, California https://www.instagram.com/p/BzlmH1LpywK/?igshid=z5ixbhqp0kfy …",official,PastorDanVera
2019-07-06 18:25:42+00:00,,#earthquakes #California #fracking #DNC #climatechange #earth,1147572343666905088,How many #earthquakes have to hit #California before we ban #fracking & the #DNC allows a debate on #climatechange? Asking for planet #earth,official,CullenYossarian
2019-07-06 17:52:13+00:00,,,1147563919847747584,Whos trying to go to la and catch a earthquake?!,official,2snailz
2019-07-06 17:11:43+00:00,,,1147553727391211520,"Shout out to everyone in Southern California who experienced these earthquakes the past few days. It's crazy man. Also shout out to all the first responders and all the help that came in. Sending all my love, thoughts and prayers to y'all. Y'all stay safe out there.",official,maniboy808
2019-07-06 16:01:33+00:00,,,1147536067655946246,Realllly feeling like the bay area is next for a big earthquake or some aftershocks,official,_kelllzzzz
2019-07-06 15:49:52+00:00,,,1147533126068912128,"I am safe so far. The earthquakes continue to epicenter in the socal area, and California is big. This doesn’t mean there isn’t one coming for norcal soon though.",official,MattMNazario
2019-07-06 15:12:18+00:00,,,1147523675228258304,These earthquakes gmfu and I’m not even in LA lol,official,vaneenz
2019-07-06 14:54:47+00:00,,,1147519263894228992,Kawhis news bigger than the two earthquakes in LA! https://twitter.com/goknickstape/status/1147384753512955904 …,official,BindiBerri90
2019-07-06 14:54:25+00:00,,,1147519175599910915,I found out the cause of that earthquake. https://twitter.com/VideosUnusual/status/1147123846333566976 …,official,jordanraw
2019-07-06 14:51:05+00:00,,,1147518336130883584,Am I the only one who’s not feeling these earthquakes???,official,jdesantiago98
2019-07-06 14:43:51+00:00,,,1147516515878502400,"California, Home of Earthquakes",official,youngcalis
2019-07-06 14:40:14+00:00,,,1147515605496619009,MLB scores: Dodgers-Padres play through earthquake; Judge homers twice as Yankees keep dominating Rays (http://CBSSports.com )http://nstat.co/snuz3,official,NatStatMLB
2019-07-06 13:12:17+00:00,,,1147493469042040833,am i the only one who didn’t feel any earthquakes,official,baeenicee
2019-07-06 11:48:36+00:00,,,1147472411052298240,At the time of the earthquake I was in San Jose sitting by the pool at my friends house when we noticed waves. We joked abt earthquake only to find out there was one in So Cal ! Apparently it reached even San Jose!,official,glfceo
2019-07-06 11:22:26+00:00,,#SoCal #EarthquakeLA #earthquakes #losangelesearthquake #laearthquake,1147465824237580288,I was in here in the Silicon Valley when Loma Prieta hit and that wasn't as big as what you're all experiencing. for you and all those in #SoCal. #EarthquakeLA #earthquakes #losangelesearthquake #laearthquake,official,Crstl_M_Romero
2019-07-06 11:08:08+00:00,,#EarthquakeLA #earthquakes #SouthernCaliforniaEarthquake,1147462227823173632,I'm so sorry you're going through this. for you and all your neighbors. #EarthquakeLA #earthquakes #SouthernCaliforniaEarthquake,official,Crstl_M_Romero
2019-07-06 09:17:35+00:00,,,1147434407638138880,Earthquake of news hittin LA. holy fuck. Clippers don’t have an answer for Alex Caruso though.,official,DoctorRico
2019-07-06 09:03:57+00:00,,,1147430975606947840,I better have my car on full so i can escape this next earthquake like they were in the movie 2012,official,youngcalis
2019-07-06 08:58:57+00:00,,,1147429716774678528,"If another earthquake hits, let it hit while i’m asleep so i can die in peace",official,youngcalis
2019-07-06 07:45:35+00:00,,,1147411252630573056,Imagine living in California and every day you either have an earthquake or someone gets shot,official,ACFromNorwich
2019-07-06 07:19:19+00:00,,,1147404644034813952,If only cable news would devote a couple of hours to climate change science the way they did to earthquake science today... https://twitter.com/DrLucyJones/status/1147009250134073344 …,official,jpanzer
2019-07-06 07:07:49+00:00,,,1147401747792449538,"All those years ago, I taught my kids to swim so they could get out of neighbourhood pool if emergency or earthquake. Thankfully we never had an earthquake while at the pool but now I know it was a good that we’d prepared cause...yikes!!! https://twitter.com/jedent/status/1147353285021454337 …",official,KateAllure
2019-07-06 06:54:05+00:00,,#anotherearthquake,1147398292508041216,#anotherearthquake The Worst Thing about Earthquake anxiety is that you never get a definite answer that you're worries were wrong it just slowly but annoyingly goes away. Also in one time or another your always going to be right anyways.,official,RunoftheMillR
2019-07-06 06:48:17+00:00,,#earthquakecalifornia,1147396832428822533,"The Faults in California #earthquakecalifornia First Try: Quiet Shaky Huh, but not shaky enough Second Try: Scared Yet? Cuz Third Time's The Charm Third Try: Who Thought Movies had Realistic Earthquakes eh? pic.twitter.com/Itg34iiIFp",official,RunoftheMillR
2019-07-06 06:47:45+00:00,,,1147396699943399424,@VJCUTLER and @XL_Darrel are touched right now. Kawhi decision was the earthquake felt at summer league,official,TheRealHeavyD89
2019-07-06 06:41:26+00:00,,,1147395108720893952,"Earthquake M5.0 - New Zealand - Sat, 6 Jul 2019 06:31:55 UTC (23:31 PDT) - 9 minutes ago more info: https://www.volcanodiscovery.com/earthquakes/quake-info/2375182/info.html … via Volcanoes & Erthquakes App - https://play.google.com/store/apps/details?id=com.volcanodiscovery.volcanodiscovery …",official,TonyChin
2019-07-06 06:40:31+00:00,,,1147394879598649345,"But If they're large enough like a 9.0 they can trigger Aftershocks all round the world right, didn't the 2004 Tsunami Earthquake do that to Alaska?",official,RunoftheMillR
2019-07-06 06:32:19+00:00,,,1147392816072413184,I’m calling it we’re all gunna die from a fucking earthquake pic.twitter.com/oFuSsFAmT7,official,e_rome1
2019-07-06 06:23:52+00:00,,,1147390689870663681,"It’s really weird that LA is getting all these earthquakes, but we haven’t had a single one up here in San Jose. Haven’t felt a damn thing.",official,EliteFourJosh
2019-07-06 06:19:37+00:00,,#Earthquake,1147389618628640769,Paul George + KAWHI !! There’s the real shake up in LA!!! #Earthquake,official,NelsTales
2019-07-06 06:15:29+00:00,,,1147388577870778368,Imagine a 7.1 earthquake in SoCal not being the biggest LA headline https://twitter.com/wojespn/status/1147383639036092416?s=19 …,official,hitstreak
2019-07-06 06:13:07+00:00,,,1147387983932223488,"Those aren’t Earthquakes, those are Laker fans jaws dropping because Kawhi just joined the Clippers.",official,NinerAlex
2019-07-06 06:13:00+00:00,,#Kawhi #Kahwiwatch #KawhiLeonard #anotherearthquake #earthquakeagain #earthquake #laearthquakes,1147387953452158976,Honestly this is the real earthquake #Kawhi #Kahwiwatch #KawhiLeonard #anotherearthquake #earthquakeagain #earthquake #laearthquakes,official,godessofvictry
2019-07-06 06:10:41+00:00,,,1147387372104929280,Hot damn after all those earthquakes in LA this trade has definitely shaken things up. Jerry West with the big to the Lakers,official,ErikDiluz
2019-07-06 06:07:03+00:00,,,1147386456446402560,Bahaha this hit lakers fans harder than that earthquake,official,onndres
2019-07-06 06:05:41+00:00,,,1147386111955652614,"Damn, this makes 3 earthquakes in SoCal in the last 2 days. WOW",official,AbeFroman
2019-07-06 06:04:38+00:00,,,1147385850508009472,LA just had a 6.9 earthquake and STILL Kawhi wants to live in LA,official,nomad_blcksheep
2019-07-06 06:03:58+00:00,,#2,1147385683335499778,That was the clippers jumping up and down for #2 @RealSkipBayless not earthquakes,official,GenX_gamer_
